Original | Correct | Predict
快讯：行业政策利好传出，南钢午后股价直线拉升封板。 | 快讯：行业政策利好传出，南钢股份午后股价直线拉升封板。 | 快讯：行业政策利好传出，南钢午后股价直线拉升封板。
快讯：行业政策利好传出，汉团午后股价直线拉升封板。 | 快讯：行业政策利好传出，汉宇集团午后股价直线拉升封板。 | 快讯：行业政策利好传出，集团午后股价直线拉升封板。
突发：市场传闻迪正与某国际巨头洽谈战略合作。 | 突发：市场传闻雷迪克正与某国际巨头洽谈战略合作。 | 突发：市场传闻迪正与某国际巨头洽谈战略合作。
客服您好，我想查询一下宝份的最近一次股东大会决议内容。 | 客服您好，我想查询一下宝莫股份的最近一次股东大会决议内容。 | 客服您好，我想查询一下股份的最近一次股东大会决议内容。
在行业政策利好的背景下，爱玛有望迎来估值修复行情。 | 在行业政策利好的背景下，爱玛科技有望迎来估值修复行情。 | 在行业政策利好的背景下，爱玛有望迎来估值修复行情。
有用户在论坛提问：'联网的股息率今年还能维持吗？' | 有用户在论坛提问：'亿联网络的股息率今年还能维持吗？' | 有用户在论坛提问：'联网的股息率今年还能维持吗？'
据最新公告，中信息拟进行重大资产重组，已申请停牌。 | 据最新公告，中科信息拟进行重大资产重组，已申请停牌。 | 据最新公告，中信息拟进行重大资产重组，已申请停牌。
有用户发帖称：园林的技术面出现金叉信号，可以抄底吗？ | 有用户发帖称：金埔园林的技术面出现金叉信号，可以抄底吗？ | 有用户发帖称：园林的技术面出现金叉信号，可以抄底吗？
据最新公告，合达拟实施股份回购计划以稳定市场信心。 | 据最新公告，怡合达拟实施股份回购计划以稳定市场信心。 | 据最新公告，合达拟实施股份回购计划以稳定市场信心。
有用户在论坛提问：'宝药明天会涨停吗？求大神分析！' | 有用户在论坛提问：'亚宝药业明天会涨停吗？求大神分析！' | 有用户在论坛提问：'宝药明天会涨停吗？求大神分析！'
快讯：*ST天今日主力资金净流入超亿元，领涨板块。 | 快讯：*ST博天今日主力资金净流入超亿元，领涨板块。 | 快讯：*ST天马日主力资金净流入超亿元，领涨板块。
快看！西域游突然放量涨停，是不是有什么大利好？ | 快看！西域旅游突然放量涨停，是不是有什么大利好？ | 快看！西域游突然放量涨停，是不是有什么大利好？
有用户在论坛提问：'富邦股的股息率今年还能维持吗？' | 有用户在论坛提问：'富邦股份的股息率今年还能维持吗？' | 有用户在论坛提问：'富邦股的股息率今年还能维持吗？'
综合行业景气度与估值，马股当前配置价值凸显。 | 综合行业景气度与估值，马钢股份当前配置价值凸显。 | 综合行业景气度与估值，个股当前配置价值凸显。
行业周报指出，特电在新兴市场的布局值得持续跟踪。 | 行业周报指出，江特电机在新兴市场的布局值得持续跟踪。 | 行业周报指出，特电在新兴市场的布局值得持续跟踪。
有用户在论坛提问：‘远保下周的股东大会主要讨论什么议题？’ | 有用户在论坛提问：‘远达环保下周的股东大会主要讨论什么议题？’ | 有用户在论坛提问：‘远保下周的股东大会主要讨论什么议题？’
据最新公告，东财富拟进行重大资产重组，已停牌。 | 据最新公告，东方财富拟进行重大资产重组，已停牌。 | 据最新公告，东财富拟进行重大资产重组，已停牌。
谨此提醒，匠心发行的相关债券将于下周付息。 | 谨此提醒，匠心家居发行的相关债券将于下周付息。 | 特此提醒，信心发行的相关债券将于下周付息。
技术分析显示，交大的股价已突破关键阻力位。 | 技术分析显示，交大思诺的股价已突破关键阻力位。 | 技术分析显示，交大的股价已突破关键阻力位。
在股吧里，大家热议民股是否已跌出价值。 | 在股吧里，大家热议航民股份是否已跌出价值。 | 在股吧里，大家热议该股是否已跌出价值。
模型测算显示，光物的隐含波动率已处于历史低位。 | 模型测算显示，晨光生物的隐含波动率已处于历史低位。 | 模型测算显示，光物的隐含波动率已处于历史低位。
各位股友，山尚今天这波拉升怎么看？是主力诱多吗？ | 各位股友，南山智尚今天这波拉升怎么看？是主力诱多吗？ | 各位股友，山尚今天这波拉升怎么看？是主力做多吗？
分析师指出，泰发展的现金流状况优于同业，具备较强的抗风险能力。 | 分析师指出，海泰发展的现金流状况优于同业，具备较强的抗风险能力。 | 分析师指出，泰发展的现金流状况优于同业，具备较强的抗风险能力。
宏观政策利好背景下，江化所属板块有望迎来估值修复。 | 宏观政策利好背景下，钱江生化所属板块有望迎来估值修复。 | 宏观政策利好背景下，江化所属板块有望迎来估值修复。
据最新消息，双股已获得监管机构批准，即将启动新一轮融资。 | 据最新消息，双林股份已获得监管机构批准，即将启动新一轮融资。 | 据最新消息，双股已获得监管机构批准，即将启动新一轮融资。
本季度，新股份的毛利率环比提升，超出市场预期。 | 本季度，新赛股份的毛利率环比提升，超出市场预期。 | 本季度，新股份的毛利率环比提升，超出市场预期。
您好，我想咨询一下关于藏游的分红派息具体到账时间。 | 您好，我想咨询一下关于西藏旅游的分红派息具体到账时间。 | 您好，我想咨询一下关于旅游的分红派息具体到账时间。
深度报告认为，中服在细分赛道具备长期护城河。 | 深度报告认为，中海油服在细分赛道具备长期护城河。 | 深度报告认为，中服在细分赛道具备长期护城河。
大家觉得特电这波回调到位了吗？想听听各位高见。 | 大家觉得江特电机这波回调到位了吗？想听听各位高见。 | 大家觉得特电这波回调到位了吗？想听听各位高见。
据最新公告，智科技拟进行重大资产重组，已申请停牌。 | 据最新公告，激智科技拟进行重大资产重组，已申请停牌。 | 据最新公告，智科技拟进行重大资产重组，已申请停牌。
快讯：合金投今日获北向资金净买入超2亿元，市场关注度攀升。 | 快讯：合金投资今日获北向资金净买入超2亿元，市场关注度攀升。 | 快讯：合金投今日北北向资金净买入超2亿元，市场关注度攀升。
据最新公告，赢合科拟实施股份回购计划，彰显管理层信心。 | 据最新公告，赢合科技拟实施股份回购计划，彰显管理层信心。 | 据最新公告，赢合科拟实施股份回购计划，彰显管理层信心。
据最新公告，达技将于下月召开临时股东大会审议重大资产重组事项。 | 据最新公告，华达科技将于下月召开临时股东大会审议重大资产重组事项。 | 据最新公告，达技将于下月召开临时股东大会审议重大资产重组事项。
据最新公告，科技拟以自有资金回购部分股份。 | 据最新公告，惠程科技拟以自有资金回购部分股份。 | 据最新公告，科技拟以自有资金回购部分股份。
据内部人士透露，合纵正与多家机构洽谈战略投资事宜。 | 据内部人士透露，合纵科技正与多家机构洽谈战略投资事宜。 | 据内部人士透露，合资正与多家机构洽谈战略投资事宜。
有用户在论坛发帖称，东重机的技术面已出现金叉信号。 | 有用户在论坛发帖称，华东重机的技术面已出现金叉信号。 | 有用户在论坛发帖称，东重机的技术面已出现金叉信号。
您好，我想咨询一下盐铺这支股票的分红政策。 | 您好，我想咨询一下盐津铺子这支股票的分红政策。 | 您好，我想咨询一下盐铺这支股票的分红政策。
客服您好，我想查询一下宏股份这支股票的分红派息具体到账时间。 | 客服您好，我想查询一下宏发股份这支股票的分红派息具体到账时间。 | 客服您好，我想查询一下宏股份这支股票的分红派息具体到账时间。
请问东环保这支股票当前的分红政策是怎样的？ | 请问东江环保这支股票当前的分红政策是怎样的？ | 请问东环保这支股票当前的分红政策是怎样的？
有用户发帖称：德石的技术面出现金叉信号，可以抄底吗？ | 有用户发帖称：凯德石英的技术面出现金叉信号，可以抄底吗？ | 有用户发帖称：德石的技术面出现金叉信号，可以抄底吗？
从技术面分析，晶电已突破关键阻力位，上升空间打开。 | 从技术面分析，亿晶光电已突破关键阻力位，上升空间打开。 | 从技术面分析，晶电已突破关键阻力位，上升空间打开。
各位股友，圣今天这波拉升怎么看？是机会还是陷阱？ | 各位股友，圣莱退今天这波拉升怎么看？是机会还是陷阱？ | 各位股友，对今天这波拉升怎么看？是机会还是陷阱？
您好，我想咨询一下关于格林的股息派发具体日期和方式。 | 您好，我想咨询一下关于格林美的股息派发具体日期和方式。 | 您好，我想咨询一下关于格林的股息派发具体日期和方式。
客服您好，我想查询一下禾的股东大会股权登记日。 | 客服您好，我想查询一下玉禾田的股东大会股权登记日。 | 客服您好，我想查询一下我的股东大会股权登记日。
各位老铁，龙股份今天这波拉升是不是有主力在搞事情？ | 各位老铁，飞龙股份今天这波拉升是不是有主力在搞事情？ | 各位老师，龙股份今天这波拉升是不是有主力在搞事情？
行业分析指出，东方珠在细分赛道具备先发优势。 | 行业分析指出，东方明珠在细分赛道具备先发优势。 | 行业分析指出，东方珠在细分赛道具备先发优势。
据最新公告，皖通高拟进行重大资产重组，已申请停牌。 | 据最新公告，皖通高速拟进行重大资产重组，已申请停牌。 | 据最新公告，皖通高拟进行重大资产重组，已申请停牌。
市场传闻驰机正与某行业巨头洽谈战略合作，引发广泛猜测。 | 市场传闻神驰机电正与某行业巨头洽谈战略合作，引发广泛猜测。 | 市场传闻飞机正与某行业巨头洽谈战略合作，引发广泛猜测。
客服您好，请问如何开通股份的港股通交易权限？ | 客服您好，请问如何开通河钢股份的港股通交易权限？ | 客服您好，请问如何开通股份的港股通交易权限？
尊敬的客户，关于您持有的道光分红到账问题，请提供交易账号。 | 尊敬的客户，关于您持有的道明光学分红到账问题，请提供交易账号。 | 尊敬的客户，关于您持有的道光分红到账问题，请提供交易账号。
有用户在论坛提问：'华精机的股息率今年还能维持吗？' | 有用户在论坛提问：'华研精机的股息率今年还能维持吗？' | 有用户在论坛提问：'华精机的股息率今年还能维持吗？'
客服您好，请问如何开通百股的港股通交易权限？ | 客服您好，请问如何开通百联股份的港股通交易权限？ | 客服您好，请问如何开通百股的港股通交易权限？
有用户在论坛发帖称：汽蓝谷的技术面出现金叉，可以抄底了吗？ | 有用户在论坛发帖称：北汽蓝谷的技术面出现金叉，可以抄底了吗？ | 有用户在论坛发帖称：汽蓝谷的技术面出现金叉，可以抄底了吗？
据最新公告，中份拟进行重大资产重组，已申请停牌。 | 据最新公告，中环股份拟进行重大资产重组，已申请停牌。 | 据最新公告，中份拟进行重大资产重组，已申请停牌。
行业分析指出，许电在细分赛道具备先发优势。 | 行业分析指出，许继电气在细分赛道具备先发优势。 | 行业分析指出，许电在细分赛道具备先发优势。
请问贵公司T方科的ESG评级报告在哪里可以查阅？ | 请问贵公司*ST方科的ESG评级报告在哪里可以查阅？ | 请问贵公司T方科的ESG评级报告在哪里可以查阅？
有用户在论坛上提问：'利的股息率今年还能维持吗？' | 有用户在论坛上提问：'利元亨的股息率今年还能维持吗？' | 有用户在论坛上提问：'利的股息率今年还能维持吗？'
据最新公告，高拟进行重大资产重组，已停牌。 | 据最新公告，高伟达拟进行重大资产重组，已停牌。 | 据最新公告，正拟进行重大资产重组，已停牌。
据最新消息，S森已向证监会提交了IPO申请材料。 | 据最新消息，ST森源已向证监会提交了IPO申请材料。 | 据最新消息，S股已向证监会提交了IPO申请材料。
有用户发帖称：文化的技术面出现金叉信号，可以抄底吗？ | 有用户发帖称：果麦文化的技术面出现金叉信号，可以抄底吗？ | 有用户发帖称：文化的技术面出现金叉信号，可以抄底吗？
行业分析指出，泰坦在细分领域的护城河正持续加深。 | 行业分析指出，泰坦科技在细分领域的护城河正持续加深。 | 行业分析指出，泰坦在细分领域的护城河正持续加深。
从技术面看，锦技已突破关键阻力位，短期上行空间打开。 | 从技术面看，锦浪科技已突破关键阻力位，短期上行空间打开。 | 从技术面看，锦技已突破关键阻力位，短期上行空间打开。
您好，我想咨询一下隆的股息派发具体到账时间。 | 您好，我想咨询一下利安隆的股息派发具体到账时间。 | 您好，我想咨询一下我的股息派发具体到账时间。
有用户在论坛发帖称，智能的技术面已出现金叉信号。 | 有用户在论坛发帖称，万胜智能的技术面已出现金叉信号。 | 有用户在论坛发帖称，智能的技术面已出现金叉信号。
技术分析显示，均胜子的股价已突破关键阻力位，上行空间打开。 | 技术分析显示，均胜电子的股价已突破关键阻力位，上行空间打开。 | 技术分析显示，均胜子的股价已突破关键阻力位，上行空间打开。
有用户在论坛提问：‘广计下周的股东大会主要讨论什么议题？’ | 有用户在论坛提问：‘广电计量下周的股东大会主要讨论什么议题？’ | 有用户在论坛提问：‘预计下周的股东大会主要讨论什么议题？’
本季度，凯旺的毛利率显著提升，主要得益于成本控制措施见效。 | 本季度，凯旺科技的毛利率显著提升，主要得益于成本控制措施见效。 | 本季度，凯旺的毛利率显著提升，主要得益于成本控制措施见效。
您好，我想咨询一下关于银龙的股息派发具体时间和方式。 | 您好，我想咨询一下关于银龙股份的股息派发具体时间和方式。 | 您好，我想咨询一下关于银龙的股息派发具体时间和方式。
据最新公告，山网科拟以自有资金回购不超过总股本5%的股份。 | 据最新公告，山石网科拟以自有资金回购不超过总股本5%的股份。 | 据最新公告，山网科拟以自有资金回购不超过总股本5%的股份。
快看！药购的董事长刚刚在业绩说明会上释放了超预期乐观信号。 | 快看！药易购的董事长刚刚在业绩说明会上释放了超预期乐观信号。 | 快看！药购的董事长刚刚在业绩说明会上释放了超预期乐观信号。
客服您好，我想查询一下鼎技的分红派息具体到账时间。 | 客服您好，我想查询一下鼎阳科技的分红派息具体到账时间。 | 客服您好，我想查询一下鼎技的分红派息具体到账时间。
快看！双传动刚刚出了个大利好，明天开盘肯定要涨停！ | 快看！双环传动刚刚出了个大利好，明天开盘肯定要涨停！ | 快看！双传动刚刚出了个大利好，明天开盘肯定要涨停！
深度研报指出，文一技在供应链上的成本优势是其核心护城河。 | 深度研报指出，文一科技在供应链上的成本优势是其核心护城河。 | 深度研报指出，文一技在供应链上的成本优势是其核心护城河。
据最新公告，京沪铁拟进行重大资产重组，市场反应积极。 | 据最新公告，京沪高铁拟进行重大资产重组，市场反应积极。 | 据最新公告，京沪铁拟进行重大资产重组，市场反应积极。
据最新公告，隆机械拟进行重大资产重组，已申请停牌。 | 据最新公告，隆基机械拟进行重大资产重组，已申请停牌。 | 据最新公告，隆机械拟进行重大资产重组，已申请停牌。
据最新公告，诚药业拟进行重大资产重组，已申请停牌。 | 据最新公告，诚达药业拟进行重大资产重组，已申请停牌。 | 据最新公告，诚药业拟进行重大资产重组，已申请停牌。
您好，我想咨询一下关于上药最新分红方案的具体到账日期。 | 您好，我想咨询一下关于上海医药最新分红方案的具体到账日期。 | 您好，我想咨询一下关于上药最新分红方案的具体到账日期。
行业分析指出，虹科在细分赛道具备显著的先发优势。 | 行业分析指出，虹软科技在细分赛道具备显著的先发优势。 | 行业分析指出，虹科在细分赛道具备显著的先发优势。
客服您好，请问如何查询达股份的历史分红记录？ | 客服您好，请问如何查询精达股份的历史分红记录？ | 客服您好，请问如何查询达股份的历史分红记录？
有用户在论坛发帖称：云内力的技术面出现金叉信号，值得关注。 | 有用户在论坛发帖称：云内动力的技术面出现金叉信号，值得关注。 | 有用户在论坛发帖称：云内力的技术面出现金叉信号，值得关注。
快跑！激智科的技术图形已经破位，短期风险极大。 | 快跑！激智科技的技术图形已经破位，短期风险极大。 | 快跑！激智科的技术图形已经破位，短期风险极大。
据最新公告，吉密拟以现金方式收购同行业一家中型企业。 | 据最新公告，吉冈精密拟以现金方式收购同行业一家中型企业。 | 据最新公告，吉密拟以现金方式收购同行业一家中型企业。
客服您好，请问如何查询股份的历史分红记录？ | 客服您好，请问如何查询霍普股份的历史分红记录？ | 客服您好，请问如何查询股份的历史分红记录？
深度报告认为，元饮品在细分赛道具备长期护城河优势。 | 深度报告认为，养元饮品在细分赛道具备长期护城河优势。 | 深度报告认为，元饮品在细分赛道具备长期护城河优势。
有用户在论坛提问：'新达的股息率今年还能维持吗？' | 有用户在论坛提问：'新时达的股息率今年还能维持吗？' | 有用户在论坛提问：'新达的股息率今年还能维持吗？'
本季度，蠡份的现金流改善显著，但营收增速放缓。 | 本季度，蠡湖股份的现金流改善显著，但营收增速放缓。 | 本季度，股份的现金流改善显著，但营收增速放缓。
据最新公告，科股份拟进行重大资产重组，已申请停牌。 | 据最新公告，科恒股份拟进行重大资产重组，已申请停牌。 | 据最新公告，科股份拟进行重大资产重组，已申请停牌。
据最新公告，T华仪拟进行重大资产重组，已申请停牌。 | 据最新公告，ST华仪拟进行重大资产重组，已申请停牌。 | 据最新公告，T华仪拟进行重大资产重组，已申请停牌。
据最新公告，慈制拟以自有资金回购部分股份。 | 据最新公告，佛慈制药拟以自有资金回购部分股份。 | 据最新公告，慈制拟以自有资金回购部分股份。
据最新公告，娱乐拟以自有资金回购不超过总股本5%的股份。 | 据最新公告，奥飞娱乐拟以自有资金回购不超过总股本5%的股份。 | 据最新公告，娱乐拟以自有资金回购不超过总股本5%的股份。
据最新公告，思能拟进行重大资产重组，已申请停牌。 | 据最新公告，思进智能拟进行重大资产重组，已申请停牌。 | 据最新公告，思能拟进行重大资产重组，已申请停牌。
据最新公告，五互拟进行重大资产重组，已申请停牌。 | 据最新公告，三五互联拟进行重大资产重组，已申请停牌。 | 据最新公告，五矿拟进行重大资产重组，已申请停牌。
据最新公告，中飞拟进行重大资产重组，已申请停牌。 | 据最新公告，中航沈飞拟进行重大资产重组，已申请停牌。 | 据最新公告，中飞拟进行重大资产重组，已申请停牌。
有用户发帖称：丽尚潮的技术面出现金叉，短期看涨信号明显。 | 有用户发帖称：丽尚国潮的技术面出现金叉，短期看涨信号明显。 | 有用户发帖称：丽尚潮的技术面出现金叉，短期看涨信号明显。
有用户在论坛上提问：'国移动的股息率今年还能维持吗？' | 有用户在论坛上提问：'中国移动的股息率今年还能维持吗？' | 有用户在论坛上提问：'国移动的股息率今年还能维持吗？'
宏观政策利好下，仕净所属板块有望迎来估值修复。 | 宏观政策利好下，仕净科技所属板块有望迎来估值修复。 | 宏观政策利好下，高净所属板块有望迎来估值修复。
据最新公告，泰能拟进行重大资产重组，已申请停牌。 | 据最新公告，永泰能源拟进行重大资产重组，已申请停牌。 | 据最新公告，泰能拟进行重大资产重组，已申请停牌。
据最新消息，股份已向证监会提交了IPO申请材料。 | 据最新消息，华斯股份已向证监会提交了IPO申请材料。 | 据最新消息，股份已向证监会提交了IPO申请材料。
从行业格局看，天坛物的核心竞争力在于其独特的供应链管理模式。 | 从行业格局看，天坛生物的核心竞争力在于其独特的供应链管理模式。 | 从行业格局看，天坛物的核心竞争力在于其独特的供应链管理模式。
本季度，公司的毛利率环比提升了约三个百分点。 | 本季度，九号公司的毛利率环比提升了约三个百分点。 | 本季度，公司的毛利率环比提升了约三个百分点。
有用户发帖称：国立科的庄家正在出货，大家注意风险！ | 有用户发帖称：国立科技的庄家正在出货，大家注意风险！ | 有用户发帖称：国立科的庄家正在出货，大家注意风险！
本公告旨在澄清市场关于特被收购传闻的不实信息。 | 本公告旨在澄清市场关于奥特佳被收购传闻的不实信息。 | 本公告旨在澄清市场关于特被收购传闻的不实信息。
深度研报指出，永份在细分赛道具备长期护城河。 | 深度研报指出，永新股份在细分赛道具备长期护城河。 | 深度研报指出，股份在细分赛道具备长期护城河。
行业周报指出，众合科在新兴市场的扩张速度超出预期。 | 行业周报指出，众合科技在新兴市场的扩张速度超出预期。 | 行业周报指出，众合科在新兴市场的扩张速度超出预期。
有用户在论坛上提问：'马阳的股息率今年还能维持吗？' | 有用户在论坛上提问：'玉马遮阳的股息率今年还能维持吗？' | 有用户在论坛上提问：'马阳的股息率今年还能维持吗？'
有用户在论坛发帖称：'重仓了塑份，坐等下周起飞！' | 有用户在论坛发帖称：'重仓了华塑股份，坐等下周起飞！' | 有用户在论坛发帖称：'重仓了股份，坐等下周起飞！'
大家觉得值得这波回调到位了吗？想听听各位高见。 | 大家觉得值得买这波回调到位了吗？想听听各位高见。 | 大家觉得值得这波回调到位了吗？想听听各位高见。
据最新公告，宝份拟进行重大资产重组，已申请停牌。 | 据最新公告，新宝股份拟进行重大资产重组，已申请停牌。 | 据最新公告，股份拟进行重大资产重组，已申请停牌。
有用户发帖称：'重仓了设股份，坐等下周起飞！' | 有用户发帖称：'重仓了中设股份，坐等下周起飞！' | 有用户发帖称：'重仓了我股份，坐等下周起飞！'
快讯：波今日主力资金净流入超亿元，市场关注度骤升。 | 快讯：宁波港今日主力资金净流入超亿元，市场关注度骤升。 | 快讯：波今日主力资金净流入超亿元，市场关注度骤升。
